Name,Status,MapLabet,MW_Name,Project_Types,Cogen,County,City,State,Zip,RecID,OldName,latitude,longitude,Employees,Owner
Freshwater Pulp Biomass Power,Liquidated,Freshwater Pulp Biomass Power,50,Chemical recovery,Y,Humboldt,Samoa,CA,95564,17,"Evergreen pulp, LP",40.805519,-124.195843,,Bob Simpson?
AES Delano,Liquidated,AES Delano,50,Unknown,N/A,Kern,Delano,CA,93250,108,,35.721901,-119.233356,,Aes Corp
Amended and Restated Liberty V Biofuels,Liquidated,Amended and Restated Liberty V Biofuels,4.5,Unknown,N/A,Kern,Lost Hills,CA,,109,,35.679797,-119.796498,,Liberty Composting
Wheelabrator No.4,Liquidated,Wheelabrator No.4,3,Unknown,N/A,Shasta,Cottonwood,CA,96007,121,,40.428435,-122.2769,,Wheelabrator
Korea East West Fairhaven Power,Operational,Korea East West Fairhaven Power,19.8,Biomass solid fuel,N,Humboldt,Samoa,CA,95564,12,,40.79946,-124.20309,,Korea East-West Power
Humboldt Redwood Company Scotia Power,Operational,Humboldt Redwood Company Scotia Power,32.5,Biomass solid fuel,Y,Humboldt,Scotia,CA,95565,36,"Eel River Power, Scotia Power, PALCO",40.481337,-124.104634,,Humboldt Redwood Company
Ortigalita Power Company,Operational,Ortigalita Power Company,1,Gasification,N,Merced,Merced,CA,95348,29,,37.335114,-120.528724,,Ortigalita Power Co.
Burney Forest Power,Operational,Burney Forest Power,31,Biomass solid fuel,Y,Shasta,Burney,CA,96013,5,,40.879724,-121.720406,,Burney Forest Products
Chowchilla Biomass Power,Operational,Chowchilla Biomass Power,12.5,Biomass solid fuel,N,Madera,Chowchilla,CA,93610,8,,37.107146,-120.248871,,Akeida Capital
Collins Pine Biomass Power,Operational,Collins Pine Biomass Power,12,Biomass solid fuel,Y,Plumas,Chester,CA,96020,9,,40.302842,-121.244088,,Collins Companies
Greenleaf Desert View Power,Operational,Greenleaf Desert View Power,47,Biomass solid fuel,N,Riverside,Mecca,CA,92254,10,Colmac,33.586491,-116.087907,,Greenleaf Power (Recycled Energy Development)
Dinuba Energy,Operational,Dinuba Energy,12,Biomass solid fuel,N,Tulare,Dinuba,CA,93654,14,,36.569581,-119.418984,,"Community Renewable Energy Services, Inc"
Greenleaf Honey Lake Power,Operational,Greenleaf Honey Lake Power,35.5,Biomass solid fuel,N,Lassen,Wendel,CA,96136,18,,40.368492,-120.264999,,Greenleaf Power (Recycled Energy Development)
Merced Power,Operational,Merced Power,12.5,Biomass solid fuel,N,Merced,El Nido,CA,95317,23,El Nido,37.186982,-120.490162,,Akeida Capital
Pacific Ultrapower Chinese Station Power,Operational,Pacific Ultrapower Chinese Station Power,22,"Biomass solid fuel - EPI/Zurn Boiler, Turbodyne/Em Turbine Generator Set; GEA ai-cooled condenser",N,Tuolumne,Jamestown,CA,95327,28,,37.874644,-120.477546,,IHI Power Services
Rio Bravo Fresno Biomass Power,Operational,Rio Bravo Fresno Biomass Power,25,Biomass solid fuel,N,Fresno,Fresno,CA,93725,31,,36.688823,-119.723405,,IHI Power 50% North American Power Group 50%
Rio Bravo Rocklin Biomass Power,Operational,Rio Bravo Rocklin Biomass Power,25,Biomass solid fuel,N,Placer,Rocklin,CA,95648,34,,38.831829,-121.313601,,IHI Power 50% North American Power Group 50%
Roseburg Forest Products Biomass Power,Operational,Roseburg Forest Products Biomass Power,15,Biomass solid fuel,Y,Siskiyou,Weed,CA,96094,35,,41.434612,-122.377895,,Roseburg
SPI Burney Biomass Power,Operational,SPI Burney Biomass Power,20,Biomass solid fuel,Y,Shasta,Burney,CA,96013,40,,40.876759,-121.701845,,SPI
SPI Anderson Biomass Power II,Operational,SPI Anderson Biomass Power II,30.15,Biomass solid fuel,Y,Shasta,Anderson,CA,96007,42,,40.47185,-122.324034,,SPI
SPI Lincoln Biomass Power,Operational,SPI Lincoln Biomass Power,19.2,Biomass solid fuel,Y,Placer,Lincoln,CA,95648,43,,38.902678,-121.309604,,SPI
SPI Quincy Biomass Power,Operational,SPI Quincy Biomass Power,27.5,Biomass solid fuel,Y,Plumas,Quincy,CA,95971,45,,39.940962,-120.909161,,SPI
SPI Sonora Standard Biomass Power,Operational,SPI Sonora Standard Biomass Power,7.5,Biomass solid fuel,Y,Tuolumne,Sonora,CA,95373,46,,37.965999,-120.318,,SPI
Wadham Biomass Power,Operational,Wadham Biomass Power,26.5,Biomass solid fuel,N,Colusa,Williams,CA,95987,49,,39.105574,-122.110131,,Wadham Energy LP
Wheelabrator Shasta Biomass Energy,Operational,Wheelabrator Shasta Biomass Energy,58,Biomass solid fuel,N,Shasta,Anderson,CA,96007,51,,40.429592,-122.278243,,Wheelabrator Shasta Energy Co
DTE Woodland Biomass Power,Operational,DTE Woodland Biomass Power,25,Biomass solid fuel,N,Yolo,Woodland,CA,95776,52,,38.691304,-121.737132,,DTE Energy Services
Biomass One LP,Operational,Biomass One LP,25,Biomass solid fuel,Y,Jackson,White City,OR,97503,56,,42.436149,-122.849501,,Biomass One
DTE Stockton Biomass Power,Operational,DTE Stockton Biomass Power,50,"Co-fire or conversion (from coal, petcoke or TDF)",Y,San Joaquin,Stockton,CA,95201,16,,37.943945,-121.330053,,DTE Energy Services
DTE Mt. Poso Cogen,Operational,DTE Mt. Poso Cogen,45,"Co-fire or conversion (from coal, petcoke or TDF)",Y,Kern,Bakersfield,CA,93308,25,,35.576448,-119.005818,,DTE Energy Services
Cal Forest Nursery Gasifier,Operational,Cal Forest Nursery Gasifier,0.07,Gasification,Y,Siskiyou,Etna,CA,96027,7,,41.475178,-122.829037,,"Growpro, Inc."
Dixon Ridge Farms Gasifier Power Pilot,Operational,Dixon Ridge Farms Gasifier Power Pilot,0.025,Gasification,Y,Yolo,Winters,CA,95776,15,,38.524353,-121.903077,,Dixon Ridge Farms
Timber Products Veneer (Yreka),Operational,Timber Products Veneer (Yreka),,Thermal,N/A,Siskiyou,Yreka,CA,96097,103,,41.731738,-122.589835,,Timber Products
