Name,Owner,Status,Cogen,MW_Nameplate,Project_Type,Employees,Previous_Name,City,State,County,latitude,longitude
Timber Products Veneer (Yreka),Timber Products,Operational,N/A,,Thermal,,,Yreka,CA,Siskiyou,41.731738,-122.589835
Columbia Plywood,Columbia Forest Products,Operational,N/A,,Thermal,,,Klamath Falls,OR,Klamath,42.179712,-121.798302
California Wood Shavings Biomass Dryer,American Wood Fiber,Operational,N/A,,Thermal - Wood boiler,,,Jamestown,CA,Tuolumne,37.838344,-120.5064
Collins Pine Biomass (Klamath Falls),Collins Pine Company,Operational,N/A,,Unknown,,,Klamath Falls,OR,Klamath,42.16992,-121.818424
Quincy Project,Unknown,Proposal,N/A,3,Thermal,,,Quincy,CA,Plumas,39.936666,-120.946199
Rio Bravo Jasmin Proposed Conversion,IHI Power 50% North American Power Group 50%,Proposal,Y,35,"Co-fire or conversion (from coal, petcoke or TDF)",,,Bakersfield,CA,Kern,35.741508,-119.050911
Rio Bravo Poso Proposed Conversion,IHI Power 50% North American Power Group 50%,Proposal,Y,35,"Co-fire or conversion (from coal, petcoke or TDF), CFB",,,Bakersfield,CA,Kern,35.547497,-119.075265
Devils Garden Conservation Camp Proposed Project,CDF?,Proposal,N/A,,Thermal,,,Alturas,CA,Modoc,41.523309,-120.66971
Trinity River Conservation Camp Proposed Project,Cal Fire,Proposal,N/A,,Thermal,,,Lewiston,CA,Trinity,40.78939,-122.802506
California Ethanol & Power LLC,CE&P,Proposal,N/A,49.9,Unknown,,,Brawley,CA,Imperial,32.91631,-115.522232
Trinity River Lumber,Trinity River Lumber,Proposal,N/A,5,Unknown,,,Weaverville,CA,Trinity,40.72493,-122.930638
Mariposa BioMAT Project,,Proposal,N/A,,Unknown,,,Mariposa,CA,Mariposa,37.505994,-120.012666
Round Valley BioMAT Project,,Proposal,N/A,,Unknown,,,Covelo,CA,Mendocino,39.80247641,-123.2495589
Branscomb BioMAT Project,,Proposal,N/A,,Unknown,,,Branscomb,CA,Mendocino,39.65483903,-123.6251896
Auberry BioMAT Project,,Proposal,N/A,,Unknown,,,Auberry,CA,Fresno,37.065986,-119.492349
