Name,Status,YearClosed,Names_Prior_Manual,MillType,Feedstock,Products,Species,City,State,Zip,PrimaryKey,latitude,longitude
Kimberly-Clark Corporation (Anderson),Closed,1981,,Sawmill,Logs,,,Anderson,CA,96007 ?,9159,40.432118,-122.267298
Louisiana Pacific (Oroville),Closed,1981,Cheney California Lumber Company,Sawmill,Logs,,,Greenville,CA,,9149,40.147467,-120.96181
Wickes Forest Industries (Fresno),Closed,1982,Emert Forest Products,Sawmill,Logs,,,Fresno,CA,,9148,36.816843,-119.745069
American Forest Products/Bendix Forest Products (Oakhurst),Closed,1982,,Sawmill,Logs,,,Oakhurst,CA,,9240,37.331078,-119.658176
G&R Lumber,Closed,1983,,Sawmill,Logs,,,Cloverdale,CA,95425 ?,9185,38.822357,-123.017224
Masonite (Cloverdale),Closed,1983,Molalla Forest Products,Sawmill,Logs,,,Cloverdale,CA,95425 ?,9144,38.779133,-123.008295
Bendix Forest Products,Closed,1983,American Forest Products (Dinkey Creek),Sawmill,Logs,,,Dinkey Creek,CA,,9145,37.064993,-119.164668
Cal Pacific Manufacturing (Hoopa),Closed,1983,,Sawmill,Logs,,,Hoopa,CA,,9222,41.034418,-123.655912
Hyampom Lumber,Closed,1983,,Sawmill,Logs,,,Hyampom,CA,,9223,40.639,-123.491
Philo Lumber (Laytonville),Closed,1983,,Sawmill,Logs,,,Laytonville,CA,,9228,39.674002,-123.505147
Little Valley Lumber (Trin-Co Forest Products),Closed,1983,,Sawmill,Logs,,,Little Valley,CA,,9230,40.896022,-121.179221
Cal Oak Lumber,Closed,1983,,Sawmill,Logs,,,Oroville,CA,95965 ?,9245,39.493489,-121.559577
Diamond International (Oroville),Closed,1983,,Sawmill,Logs,,,Oroville,CA,95965 ?,9244,39.494864,-121.565478
Simonson Lumber-Logging Company (2 mills),Closed,1983,,Sawmill,Logs,,,Smith River,CA,,9268,41.92688,-124.14166
Twin Peaks Timber Products,Closed,1983,,Sawmill,Logs,,,Twin Peaks,CA,,9279,34.252006,-117.24117
Carlotta Lumber Company,Closed,1986,,Sawmill,Logs,,,Carlotta,CA,,9178,40.535639,-124.066792
SPI Chico Sawmill,Closed,1986,"Butte Lumber Company, Webco Lumber",Sawmill,Logs,,,Chico,CA,,9142,40.018018,-121.713338
"Hatler and Company, Vernon E.",Closed,1986,,Sawmill,Logs,,,Sonora,CA,,9270,38.043786,-120.344941
Louisiana Pacific (Alderpoint),Closed,1987,"Georgia Pacific, E.A. Reynolds Mill and Lumber",Sawmill,Logs,,,Alderpoint,CA,,9137,40.158935,-123.602894
Champion International (Anderson),Closed,1987,US Plywood,Sawmill,Logs,,,Anderson,CA,96007 ?,9160,38.646405,-121.385157
McNamara & Peepe Lumber (Crescent City),Closed,1987,,Sawmill,Logs,,,Crescent City,CA,,9193,41.75699,-124.192585
Northcrest,Closed,1987,,Sawmill,Logs,,,Crescent City,CA,,9194,41.793081,-124.1869
Louisiana Pacific (SIerra Division),Closed,1987,,Sawmill,Logs,,,Crescent Mills,CA,,9195,40.094476,-120.910126
Wetsel-Oviatt Lumber,Closed,1987,Golden State building Products,Sawmill,Logs,,,El Dorado Hills,CA,,9147,38.605372,-121.057521
Eel River Sawmills,Closed,1987,,Sawmill,Logs,,,Fortuna,CA,95540 ?,9278,40.396941,-123.941662
Brunswick Timber Products (Grass Valley),Closed,1987,,Sawmill,Logs,,,Grass Valley,CA,95945,9214,38.79857,-120.722425
Simpson Timber (klamath),Closed,1987,,Sawmill,Logs,,,Klamath,CA,,9225,41.527335,-124.023576
Roseburg Lumber (Mount Shasta),Closed,1987,Kimberly-Clark Corporation,Sawmill,Logs,,,Mount Shasta,CA,,9151,41.296848,-122.307712
SPI Oroville Sawmill,Closed,1987,,Sawmill,Logs,,,Oroville,CA,95965 ?,9246,39.480487,-121.56114
Philo Lumber (Philo),Closed,1987,,Sawmill,Logs,,,Philo,CA,,9248,39.063991,-123.439141
Golden Bear Forest Products,Closed,1987,Big Bear Timber Company,Sawmill,Logs,,,Redlands,CA,,9154,34.088776,-117.189339
Holstrom Lumber,Closed,1987,,Sawmill,Logs,,,Sattley,CA,,9264,39.624336,-120.435078
Sonoma Pacific,Closed,1987,,Sawmill,Logs,,,Schellville,CA,,9265,38.245964,-122.445181
Whitt Manufacturing Company,Closed,1987,,Sawmill,Logs,,,Sonora,CA,,9271,37.971532,-120.374556
Snyder Lumber,Closed,1987,,Sawmill,Logs,,,Wallace,CA,,9283,38.194106,-120.977912
Schmidbauer Lumber,Closed,1987,,Sawmill,Logs,,,Weaverville,CA,,9284,40.725091,-122.93143
Windsor Mill,Closed,1987,,Sawmill,Logs,,,Windsor,CA,,9288,38.543215,-122.812538
Pine Mountain Lumber,Closed,1987,,Sawmill,Logs,,,Yreka,CA,96097,9290,41.715588,-122.63428
Harwood (Willits Mill),Closed,1988,,Sawmill,Logs,Lumber,,Willits,CA,95490 ?,9127,39.402908,-123.360812
WIPE adin lumber,Closed,1989,,Sawmill,Logs,Lumber,,Bieber,CA,96009 ?,9021,41.121416,-121.143839
Stone Forest Products (Burnt Ranch),Closed,1989,Southwest Forest Industries,Sawmill,Logs,Lumber,,Burnt Ranch,CA,95527 ?,9028,40.806801,-123.474496
Louisiana Pacific (Burney),Closed,1990,"Lorenz, FibreBoard",Sawmill,Logs,Lumber,,Burney,CA,96013 ?,9025,40.989629,-121.621078
Timber Realization Company,Closed,1990,,Sawmill,Logs,Lumber,,Calpella,CA,95418 ?,9029,39.238004,-123.200771
Louisiana Pacific (Inyokern),Closed,1990,,Sawmill,Logs,Lumber,,Inyokern/Pearsonville,CA,93527 ?,9061,35.842606,-117.870542
Louisiana Pacific Potter Valley Mill,Closed,1990,,Sawmill,Logs,Lumber,,Potter Valley,CA,95469,9089,39.380906,-123.106023
Louisiana Pacific (Truckee),Closed,1990,Fibreboard,Sawmill,Logs,Lumber,,Truckee,CA,96161 ?,9115,39.330244,-120.180058
Combs Lumber,Closed,1991,,Sawmill,Logs,Lumber,,Arcata,CA,95521,9014,40.888293,-124.038073
Eel River (Alton),Closed,1991,,Sawmill,Logs,Lumber,,Fortuna,CA,95540 ?,9050,40.545985,-124.120544
