Name,Status,MapLabel,asdfghj,Project_Type,Cogen_Status,County,City,State,Zip,RecID,OldName,latitude,longitude
Blue Lake Rancheria,Active development,Blue Lake Rancheria,0.8,Biomass solid fuel,not cogen,Humboldt County,Blue Lake,CA,95525,59,,40.886347,-124.000079
North Fork BioMAT Project,Active development,North Fork BioMAT Project,2,Biomass solid fuel,Unknown,Madera County,North Fork,CA,93643,60,,37.231861,-119.494599
Wilseyville BioMAT Project,Active development,Wilseyville BioMAT Project,3,Biomass solid fuel,Unknown,Calaveras County,West Point,CA,95255,61,,38.37751,-120.523977
Placer County,Active development,Placer County Biomass Power Project,2,Gasification,cogen,Placer County,Cabin Creek,CA,96161,30,,39.290828,-120.214074
Quincy Proposed Project,Proposal,Quincy Project,3,Thermal,Unknown,Plumas County,Quincy,CA,95971,62,,39.936666,-120.946199
Iberdrola Lakeview Project,Active development,Iberdrola Lakeview Project,26,Unknown,Unknown,Lake County,Lakeview,OR,97630,53,,42.197586,-120.354345
Red Rock Biofuels LLC,Active Development,Red Rock Biofuels,17.5,Unknown,Unknown,,Lakeview,OR,,135,,42.163105,-120.349209
Central Valley Ag Grinding,Active Development,Central Valley Ag Grinding,1,Gasification,cogen,Stanislaus County,Oakdale,CA,95361,58,,37.718988,-120.895545
Valley Bio-Energy,Cancelled,Valley Bio-Energy,33,Biomass solid fuel,not cogen,Stanislaus County,Modesto,CA,95350,101,,37.6383,-120.999589
Placer County,Cancelled,Placer County Biomass Power Project,2,Gasification,cogen,Placer County,Kings Beach,CA,96143,107,,39.245133,-120.027133
Iberdrola Klamath Falls Project,Cancelled,Iberdrola Klamath Falls Project,,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601,54,,42.176324,-121.809231
Klamath Falls Bioenergy Project,Cancelled,Klamath Falls Bioenergy Project,,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601,55,,42.174472,-121.822306
HFI BioPower,Cancelled,HFI BioPower,20,Unknown,Unknown,Deschutes County,La Pine,OR,97739,116,,43.668663,-121.486519
Ortigalita Power Co.,Cancelled,Ortigalita Power,1,Unknown,Unknown,Merced,Los Banos,CA,,123,,36.979552,-120.870087
Rialto Renewable Energy Center,Cancelled,Rialto Renewable Energy Center,40,Unknown,Unknown,San Bernardino,Bloomington,CA,,124,,34.052028,-117.359847
Colton Renewable Energy Center,Cancelled,Colton Renewable Energy Center,49.9,Unknown,Unknown,San Bernardino,Colton,CA,92324,125,,34.06079,-117.345883
Big Valley Biomass Power/BVP Property,Idle,Big Valley Biomass Power,,Biomass solid fuel,not cogen,Lassen County,Bieber,CA,96009,2,,41.132744,-121.137368
Blue Lake Power,Idle,Renewable Energy Providers Blue Lake Power,11,Biomass solid fuel,not cogen,Humboldt County,Blue Lake,CA,95525,3,,40.877693,-123.994609
Burney Mountain Power,Idle,Covanta Burney Mtn. Power,11,Biomass solid fuel,not cogen,Shasta County,Burney,CA,96013,6,Covanta,40.909703,-121.639961
"Delano Energy Co, Inc",Idle,Covanata Delano Power,58,Biomass solid fuel,not cogen,Kern County,Delano,CA,93215,11,Covanta,35.719097,-119.234588
DG Fairhaven,Idle,Korea East West Fairhaven Power,19.8,Biomass solid fuel,not cogen,Humboldt County,Samoa,CA,95564,12,,40.79946,-124.20309
Imperial Valley Resource Recovery Project,Idle,Imperial Valley Resource Recovery Power,,Biomass solid fuel,not cogen,Imperial County,El Centro,CA,92251,19,,32.906602,-115.51372
Shasta Renewable,Idle,Shasta Renewable,7.2,Biomass solid fuel,cogen,Shasta County,Anderson,CA,96007,20,"Wheelabrator Hudson, Kiara Solar",40.473227,-122.328937
Madera Power LLC,Idle,Madera Power,33,Biomass solid fuel,not cogen,Fresno County,Firebaugh,CA,93622,21,Yankee Energy,36.861479,-120.338865
