Organization Name,City,State,Year,Project Description,Award Amount,Grant Iteration,Extra,Latitude,Longitude
Del Logging Inc,Bieber, CA,2010,"Drum chipper, Loader, & Feller Buncher",350000,FS WBU Grant,,-121.1441396,41.1212775
Cooley Forest Products,Phoenix, AZ,2010,Canter & firewood processor,350000,FS WBU Grant,,-112.0740373,33.4483771
J.W.Bamford Inc,Oroville, CA,2010,Whole tree chipper,300000,FS WBU Grant,,-121.556359,39.5137752
West Range Reclamation,Crawford, CO,2010,Delimber/Debarker,350000,FS WBU Grant,,-107.6089466,38.7038767
Arizona Log and TimberWorks,Eagar, AZ,2010,Post and pole mill,350000,FS WBU Grant,,-109.291475,34.1111581
JL Shavings,Tularosa, NM,2010,Sawmill upgrade,350000,FS WBU Grant,,-106.0186025,33.073973
San Carlos Apache Timber Products,San Carlos, AZ,2010,Grinder,272770,FS WBU Grant,,-110.4531551,33.3453349
Warner Enterprises,Redding, CA,2010,Feller buncher,350000,FS WBU Grant,,-122.3916754,40.5865396
Foothills Firewood,Lyons, OR,2010,Firewood processing,325014,FS WBU Grant,,-122.6150855,44.7745664
Restoration Solutions,Corona, NM,2010,Harvester,350000,FS WBU Grant,,-105.5966686,34.2509071
ABCO Wood Recycling,Post Falls, ID,2010,Pellet mill,200000,FS WBU Grant,,-116.9515856,47.7179578
Matanuska-Susitna Borough,Palmer, AK,2011,Engineering study grant,80000,FS WBU Grant,,-149.117374,61.59944
Placer County,Kings Beach,CA,2011,Engineering study grant,50000,FS WBU Grant,,-121.78869,38.896205
Kiara Solar,Anderson, CA,2011,Engineering study grant,250000,FS WBU Grant,,-122.301254,40.450565
Trinity River Lumber,Weaverville, CA,2011,Engineering study grant,250000,FS WBU Grant,,-122.936699,40.727765
Community Power Corporation,Littleton, CO,2011,Engineering study grant,125000,FS WBU Grant,,-105.14519,39.616905
Idaho Forest Group,Coeur d'Alene, ID,2011,Engineering study grant,135000,FS WBU Grant,,-116.776166,47.671866
Yellowstone Power,Emmet, ID,2011,Engineering study grant,250000,FS WBU Grant,,-116.500064,43.874125
"EcoPower Generation, LLC",Lexington, KY,2011,Engineering study grant,250000,FS WBU Grant,,-84.500319,38.48595
Stoltze Land & Lumber,Columbia Falls, MT,2011,Engineering study grant,190720,FS WBU Grant,,-114.181905,48.370548
"Pyramid Mountain Lumber, Inc.",Seeley Lake, MT,2011,Engineering study grant,202727,FS WBU Grant,,-113.482936,47.177435
University of Montana,Missoula, MT,2011,Engineering study grant,250000,FS WBU Grant,,-113.996234,46.87278
Burrows Paper Corporation,Little Falls, NY,2011,Engineering study grant,250000,FS WBU Grant,,-74.858869,43.4045
New York Power Authority,White Plains, NY,2011,Engineering study grant,250000,FS WBU Grant,,-73.764154,41.3354
City of Vernonia,Vernonia, OR,2011,Engineering study grant,25000,FS WBU Grant,,-123.197204,45.85868
ColPac Quinault Indian Nation,Montesano, WA,2011,Engineering study grant,50000,FS WBU Grant,,-123.600764,46.98384
Thilmany LLC,Kaukauna, WI,2011,Engineering study grant,132400,FS WBU Grant,,-88.271164,44.277025
University of Wisconsin--Superior,Superior, WI,2011,Engineering study grant,250000,FS WBU Grant,,-92.103949,46.72131
Plumas,Quincy,CA,2012,Restart 16-17 MW CHP plant in Plumas County,70125,FS WBU Grant,,-120.947176,39.936836
"North Fork, CA",North Fork,CA,2012,Construct small scale 1 MW CHP system.,134225,FS WBU Grant,,-119.509381,37.229376
Cal Fire,Trinity County,CA,2012,3.8 MM BTU annual thermal energy system,124875,FS WBU Grant,,-123.062255,40.632948
F.H. Stoltze Land & Lumber Co. ,Columbus Falls,MT,2012,"2.5MW CHP system, Woody Biomass Combined Heat and Power Project Phase II",250000,FS WBU Grant,,-74.720689,40.072789
