longitude,latitude,organization_name,city,state,year,project_description,award_amount,grant_iteration,extra,date,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status,column_1449770279916
-106.951711,39.64693,Eagle Valley Clean Energy,Gypsum,CO,2012,CHP project where electricity is sold to Holy Cross Energy,250000,FS WBU Grant,,2012-01-01 00:00:00+00,0101000020E6100000950F41D5E8BC5AC090662C9ACED24340,97,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-96.830844,39.298885,Riley CO Schools KS,Riley,KS,2012,wood pellet system for HS and grade school,90000,FS WBU Grant,,2012-01-01 00:00:00+00,0101000020E6100000FB04508C2C3558C0EA211ADD41A64340,98,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-111.673536,40.05301,Sanpete Valley Clean Energy,Salem,UT,2012,18 MW CHP,250000,FS WBU Grant,,2012-01-01 00:00:00+00,0101000020E61000006F2BBD361BEB5BC0342E1C08C9064440,99,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-123.430741,48.118146,Port Angeles Hardwood WA,Port Angeles,WA,2012,"Nippon Pager Industries 2.5 MW CHP unit at hardwood sawmill, Replacement boiler for Nippon paper to produce CHP 20MW power and steam",250000,FS WBU Grant,,2012-01-01 00:00:00+00,0101000020E6100000F702B34291DB5EC09D137B681F0F4840,100,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-122.709477,42.194576,Southern Oregon University,Ashland,OR,2012,replace natural gas boilers with small CHP system.,250000,FS WBU Grant,,2012-01-01 00:00:00+00,0101000020E6100000E910381268AD5EC0124BCADDE7184540,101,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-124.22428,43.406501,Coquille Indian Tribe,North Bend,OR,2012,"1.3 MW CHP facility electricity for casino and hotel Bend, OR.",145000,FS WBU Grant,,2012-01-01 00:00:00+00,0101000020E61000006649809A5A0E5FC049658A3908B44540,102,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Minnesota State Wood Innovation Team,Minneapolis, MN,2015,University of Minnesota Duluth,,Wood Innovations Grant,,2015-01-01 00:00:00+00,,145,2015-04-17 23:53:25.482888+00,2015-12-10 20:02:25.569734+00,,
,,Qualco Energy,Monroe,WA,2014,Qualco Energy - Woody Biomass to Combined Heat and Power,120000,Wood-to-Energy,,2014-01-01 00:00:00+00,0101000020E6100000596E6935247E5EC084D382177DED4740,127,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.253766+00,true,
-78.561387,41.427935,Elk Regional Health System,St Marys,PA,2007,,250000,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E61000009259BDC3EDA353C029E8F692C6B64440,5,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.253766+00,false,
-104.812914,40.07961,"Renewable Fiber, Inc.",Ft. Lupton,CO,2008,,250000,FS WBU Grant,,2008-01-01 00:00:00+00,0101000020E61000007A1D71C806345AC0A03715A9300A4440,39,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.253766+00,false,
-122.675629,45.511795,Sustainable Northwest,Portland,OR,2007,,249560,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E6100000ABCE6A813DAB5EC0CFA0A17F82C14640,26,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Wisewood Inc.,Grant County,OR,2013,Wisewood Inc.,250000,FS WBU Grant,http://wisewood.us/,2013-01-01 00:00:00+00,,117,2015-04-17 23:53:25.482888+00,2015-12-10 20:00:12.348976+00,false,
,,"Wind River Biomass Utility, LLC",Stevenson,WA,2014,Wind River Biomass Combined Heat and Power Utility,100000,Wood-to-Energy,,2014-01-01 00:00:00+00,0101000020E61000001B2AC6F99B785EC07767EDB60BD94640,128,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-74.720689,40.072789,F.H. Stoltze Land & Lumber Co.,Columbus Falls,MT,2012,"2.5MW CHP system, Woody Biomass Combined Heat and Power Project Phase II",250000,FS WBU Grant,,2012-01-01 00:00:00+00,0101000020E61000009065C1C41FAE52C01841632651094440,94,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.253766+00,false,
,,"Wagner Construction, Inc.         ",International Falls,MN,2014,Industrial Wood Pellet Mill                     ,250000,Wood-to-Energy,,2014-01-01 00:00:00+00,0101000020E6100000D8D30E7F4D5A57C062A1D634EF4C4840,122,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-116.692589,43.66744,Diamond Ridge Lumber,Caldwell,ID,2008,,168200,FS WBU Grant,,2008-01-01 00:00:00+00,0101000020E61000007024D060532C5DC0680586AC6ED54540,30,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-108.757984,33.7126,"K & B Timberworks, Inc",Reserve,NM,2008,,250000,FS WBU Grant,,2008-01-01 00:00:00+00,0101000020E61000000AB952CF82305BC097900F7A36DB4040,31,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Chadron District Energy Project,Lincoln, NE,2015,University of Nebraska,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000005FEFFE78AF2A58C06666666666664440,151,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Oregon Forest Products Marketing Pro- gram,Portland, OR,2015,Oregon Forest Resources Institute,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000009ACE4E0647AB5EC0AC8BDB6800C34640,156,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Waste Heat Recovery and Residual Drying,Wallowa, OR,2015,"Integrated Biomass Resources, LLC",,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000191C25AFCE615DC01B12F758FAC84640,158,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,A Cross Laminated Timber (CLT) Educa- tional Building and Awareness Building Campaign,Logan, UT,2015,Utah State University,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000018750A566F55BC07C444C8924DE4440,162,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Thermal Gasification of Forest Residues for Combined Heat and Power (CHP) Ap- plication in the SMUD Region,Sacramento, CA,2015,Sacramento Municipal Utility Dis- trict,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000001DC9E53FA45F5EC0D82AC1E2704A4340,135,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,"Blue Lake Roundstock Company, LLC (BLRC) Plant Expansion Project",Oakland, CA,2015,Allotrope Partners,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000006FF085C954915EC017F19D98F5E64240,134,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Blast-Resistant Testing for Massive Timber Exterior Wall,San Marcos, CA,2015,WoodWorks,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000ADA3AA09A24A5DC01F9DBAF259924040,136,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,"Utilizing Biochar to Sequester Carbon, Fortify Local Agriculture, Reduce Soil and Water Pollution, and Improve Land Man- agement",Mancos, CO,2015,Western Excelsior Corporation (WEC),,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000008D976E1283125BC05C8FC2F528AC4240,138,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Utilization of By-Product from the Eco- logical Restoration of Forests on the Pine Ridge Reservation,Kyle, SD,2015,Oglala Sioux Parks and Recreation Authority,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000E8DEC325C77758C02BF697DD93FF3D40,161,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Pagosa Springs Biomass Power Project,Pagosa Springs, CO,2015,"Renewable Forest Energy, LLC",,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000C63368E89FC05AC01FF46C567DA24240,139,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Sierra Foothills Bundled Energy Develop- ment,Grass Valley, CA,2015,"Fire Safe Council of Nevada County, Inc.",,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E610000000C63368E8435EC04EEE77280A9C4340,133,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Wisconsin Wood Products Market Expansion,Florence, WI,2015,"Sustainable Resources Institute, Inc.",,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000D34D621058EB55C0C381902C60664140,170,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Expanding the Use of Wood Building Products in SC,Clemson, SC,2015,Clemson University,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000B329577897B554C09D6340F67A574140,160,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Narragansett Regional School District,Baldwinville,MA,2013,Narragansett Regional School District,250000,FS WBU Grant,http://www.nrsd.org/,2013-01-01 00:00:00+00,0101000020E61000001EDC9DB5DB0452C0BD1DE1B4E04D4540,114,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
