latitude,longitude,MapLabel,Status,MillType,Products,Feedstock,Species,CIty,State,RecordEditor,Zip,Cogen_Status,OldName,MapIcon
38.80935591,-121.3173498,Mallard Creek Shavings/Pellets,Open,,,,,,,Larry Swan,95377,not cogen,,grn_circle
39.08601607,-121.570966,American Wood Fiber,Open,,,,, Olivehurst,CA,Larry Swan,95350,not cogen,,wht_circle
42.25647449,-121.8046141,Jeld-Wen Thomas Lbr. Sawmill,Open,,,,,,,Larry Swan,95987,not cogen,,grn_circle
42.25325412,-121.8060077,Jeld-Wen MDF,Open,,,,,,,Larry Swan,96007,not cogen,,grn_circle
42.04369796,-121.8719792,Southern Oregon Post & Pole,Open,,,,,,,Larry Swan,95776,not cogen,,grn_circle
42.430189,-122.852102,Boise Wood Products Veneer/LVL/Plywood,Open,,,,,,,Larry Swan,95640,not cogen,,grn_circle
42.346976,-122.889142,Sierra Pine MDF & Particle Bd.,Open,,,,,,,Larry Swan,95348,not cogen,,grn_circle
42.435871,-122.866862,Timber Products Co. Particle Board and Plywood Mills,Open,,,,,,,Larry Swan,95776,not cogen,,orange_circle
42.052701,-124.290912,South Coast Lbr. Veneer & Plywood and SouthCoast Lbr. Dimention & Stud Sawmills,Open,,,,,,,Larry Swan,93643,N/A,,red_circle
42.433787,-122.858651,Murphy Co. Veneer,Open,,,,,,,Larry Swan,97523,N/A,,ylw_circle
42.424954,-123.162117,Murphy Plywood Layup,Open,,,,,,,Larry Swan,95255,N/A,,purple_circle
41.737758,-122.593349,Fruit Growers Supply Company,Proposed,,,,,,,Larry Swan,97601,N/A,,grn_circle
39.587495,-122.540479,Commander Lumber Co.,Unknown,,,,,,,Larry Swan,96101,N/A,,purple_circle
39.885429,-122.541257,Crane Mills,Unknown,,,,,,,Larry Swan,95971,N/A,,purple_circle
39.8174833,-123.20695,Covelo Old LP Mill,Unknown,,,,,,,Peter Tittmann,,N/A,,grn_circle
39.380906,-123.106023,Potter Valley Old LP Mill,Unknown,,,,,,,Larry Swan,96052,N/A,,purple_circle
